symbol,average_volatility_points,average_volatility_percent,daily_data
BTCUSDT,2583.2,2.78,"[{'date': '2025-04-15', 'points': 2896, 'percent_change': 3.46}, {'date': '2025-04-16', 'points': 2388, 'percent_change': 2.87}, {'date': '2025-04-17', 'points': 1734, 'percent_change': 2.07}, {'date': '2025-04-18', 'points': 828, 'percent_change': 0.98}, {'date': '2025-04-19', 'points': 1314, 'percent_change': 1.56}, {'date': '2025-04-20', 'points': 1371, 'percent_change': 1.63}, {'date': '2025-04-21', 'points': 3321, 'percent_change': 3.9}, {'date': '2025-04-22', 'points': 6812, 'percent_change': 7.82}, {'date': '2025-04-23', 'points': 2761, 'percent_change': 3.0}, {'date': '2025-04-24', 'points': 2345, 'percent_change': 2.56}, {'date': '2025-04-25', 'points': 2902, 'percent_change': 3.13}, {'date': '2025-04-26', 'points': 1328, 'percent_change': 1.42}, {'date': '2025-04-27', 'points': 1766, 'percent_change': 1.89}, {'date': '2025-04-28', 'points': 2830, 'percent_change': 3.05}, {'date': '2025-04-29', 'points': 1719, 'percent_change': 1.83}, {'date': '2025-04-30', 'points': 2318, 'percent_change': 2.5}, {'date': '2025-05-01', 'points': 3294, 'percent_change': 3.5}, {'date': '2025-05-02', 'points': 1546, 'percent_change': 1.6}, {'date': '2025-05-03', 'points': 1183, 'percent_change': 1.24}, {'date': '2025-05-04', 'points': 2153, 'percent_change': 2.29}, {'date': '2025-05-05', 'points': 1685, 'percent_change': 1.8}, {'date': '2025-05-06', 'points': 3544, 'percent_change': 3.79}, {'date': '2025-05-07', 'points': 1947, 'percent_change': 2.03}, {'date': '2025-05-08', 'points': 7269, 'percent_change': 7.5}, {'date': '2025-05-09', 'points': 2046, 'percent_change': 2.0}, {'date': '2025-05-10', 'points': 2166, 'percent_change': 2.11}, {'date': '2025-05-11', 'points': 1627, 'percent_change': 1.57}, {'date': '2025-05-12', 'points': 5101, 'percent_change': 5.06}, {'date': '2025-05-13', 'points': 3547, 'percent_change': 3.5}, {'date': '2025-05-14', 'points': 1755, 'percent_change': 1.71}]"
ETHUSDT,120.23,6.25,"[{'date': '2025-04-15', 'points': 78, 'percent_change': 4.93}, {'date': '2025-04-16', 'points': 76, 'percent_change': 4.91}, {'date': '2025-04-17', 'points': 54, 'percent_change': 3.44}, {'date': '2025-04-18', 'points': 27, 'percent_change': 1.72}, {'date': '2025-04-19', 'points': 47, 'percent_change': 2.95}, {'date': '2025-04-20', 'points': 54, 'percent_change': 3.42}, {'date': '2025-04-21', 'points': 95, 'percent_change': 6.05}, {'date': '2025-04-22', 'points': 241, 'percent_change': 15.66}, {'date': '2025-04-23', 'points': 90, 'percent_change': 5.15}, {'date': '2025-04-24', 'points': 80, 'percent_change': 4.64}, {'date': '2025-04-25', 'points': 89, 'percent_change': 5.1}, {'date': '2025-04-26', 'points': 62, 'percent_change': 3.5}, {'date': '2025-04-27', 'points': 76, 'percent_change': 4.24}, {'date': '2025-04-28', 'points': 83, 'percent_change': 4.77}, {'date': '2025-04-29', 'points': 63, 'percent_change': 3.51}, {'date': '2025-04-30', 'points': 85, 'percent_change': 4.91}, {'date': '2025-05-01', 'points': 81, 'percent_change': 4.5}, {'date': '2025-05-02', 'points': 58, 'percent_change': 3.2}, {'date': '2025-05-03', 'points': 39, 'percent_change': 2.13}, {'date': '2025-05-04', 'points': 47, 'percent_change': 2.6}, {'date': '2025-05-05', 'points': 52, 'percent_change': 2.9}, {'date': '2025-05-06', 'points': 69, 'percent_change': 3.93}, {'date': '2025-05-07', 'points': 63, 'percent_change': 3.52}, {'date': '2025-05-08', 'points': 417, 'percent_change': 23.07}, {'date': '2025-05-09', 'points': 306, 'percent_change': 14.03}, {'date': '2025-05-10', 'points': 283, 'percent_change': 12.21}, {'date': '2025-05-11', 'points': 173, 'percent_change': 7.09}, {'date': '2025-05-12', 'points': 217, 'percent_change': 9.03}, {'date': '2025-05-13', 'points': 323, 'percent_change': 13.38}, {'date': '2025-05-14', 'points': 179, 'percent_change': 7.02}]"
